title,tagline,description,url,embeddable,model,prompt,creator,category,thumbnail_url,plays,upvotes
Infinite Craft,Combine anything into anything,AI sandbox where every combination of elements creates new discoveries,https://neal.fun/infinite-craft/,true,Other,Combine elements to discover new concepts,Neal Agarwal,Other,,,
Oasis,AI-generated Minecraft-like simulation,Frame-by-frame AI world generation based on player input,https://oasis.decart.ai/,true,Other,Generate next frame world from input controls,Decart + Etched,Exploration,,,
Vibe Sail,AI sailing simulator,Procedural sailing game with dynamic wind and water physics,https://aibuiltgames.com/game-category/simulation,true,Claude,Create sailing simulator with realistic physics,Nicola Manzini,Exploration,,35721,
Fly (MiniGroks),Infinite flying exploration,Procedural flying sim with AI-generated landscapes,https://www.minigroks.com/,true,GPT,Infinite world flight simulator with procedural generation,Pieter Levels,Exploration,,42356,
Combat Mission (MiniGroks),AI tactical shooter,Procedurally generated shooter missions with AI enemies,https://www.minigroks.com/,true,GPT,Generate tactical FPS missions with AI enemies,Reagan Maconi,Arcade,,48892,
Mars Interloper (MiniGroks),AI adventure exploration,Procedural exploration game on Mars environment,https://www.minigroks.com/,true,GPT,Create Mars exploration survival game,unknown,Exploration,,32145,
XForce (MiniGroks),AI action shooter,Fast-paced action game with procedural combat,https://www.minigroks.com/,true,GPT,Generate arcade shooter with enemies,unknown,Arcade,,39754,
Regame (MiniGroks),Strategy AI game,Procedural strategy game systems,https://www.minigroks.com/,true,GPT,Generate strategy game with AI systems,unknown,Strategy,,28321,
Drive (MiniGroks),AI racing sim,Procedural racing game,https://www.minigroks.com/,true,GPT,Generate racing game with procedural tracks,unknown,Arcade,,26189,
Skater Frog,AI skateboarding platformer,City exploration skateboard missions,https://aibuiltgames.com/,true,GPT,Create skateboard city mission game,Create a Meme,Platformer,,,
Fishing Lure Concept,AI fishing simulator,3D fishing exploration game,https://vibecodezone.com/,true,Claude,Generate fishing simulator with 3D water physics,Marcos Checa,Exploration,,17,
Vector Tango,AI air traffic control sim,Control aircraft in simulated airspace,https://vibecodezone.com/,true,Claude,Generate air traffic control simulation game,Scobel,Strategy,,19,
Yacht Vibes,AI relaxing sailing game,Relaxing yacht simulation experience,https://vibecodezone.com/,true,Claude,Generate relaxing yacht sailing game,Stefan,Exploration,,,
Builder,Minecraft-like AI builder,Calm sandbox building game,https://aibuiltgames.com/game-category/other,true,Claude,Generate sandbox building game like Minecraft,sarperdag,Other,,,
8 Pool AI,AI pool simulation,Physics-based pool game,https://aibuiltgames.com/game-category/other,true,Claude,Generate pool game with AI physics,MrDee,Arcade,,,
Fruit of the Boom,AI arcade fruit game,Collect fruits arcade game,https://aibuiltgames.com/game-category/other,true,Claude,Generate arcade fruit collection game,isaactdozier,Arcade,,,
Blob Coin Dash,AI platformer,Collect coins avoid spikes platformer,https://itch.io/games/tag-ai-generated/tag-vibe-coded,true,Claude,Generate coin dash platformer game,Neo,Platformer,,,
Vine Climber,AI platformer,Flying vine traversal platformer,https://itch.io/games/tag-ai-generated/tag-vibe-coded,true,Claude,Generate vine climbing platformer game,unknown,Platformer,,,
Roof Trump Rampage,AI arcade meme game,Humorous arcade physics game,https://itch.io/games/tag-ai-generated/tag-vibe-coded,true,Claude,Generate chaotic meme arcade game,gamejew,Arcade,,,
ARPG Idle Vibe Coded,AI idle RPG,Incremental ARPG inspired by Diablo,https://itch.io/games/tag-ai-generated/tag-vibe-coded,true,Claude,Generate idle ARPG incremental game,Hooplaa,Idle,,,
LIGHTLINE,AI puzzle game,Light connection puzzle game,https://itch.io/games/tag-ai-generated/tag-vibe-coded,true,Claude,Generate light beam puzzle game,Billwaa,Puzzle,,,
